City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Rio Gallegos,AR,2022-02-12 15:12:33,-51.6226,-69.2181,66.25,26,40,37.98,scattered clouds
244,Margate,GB,2022-02-12 15:13:24,51.3813,1.3862,47.17,58,99,8.99,overcast clouds
245,Popondetta,PG,2022-02-12 15:17:27,-8.7537,148.2534,74.28,91,99,1.95,overcast clouds
246,Perry,US,2022-02-12 15:17:28,37.2506,-83.1999,49.96,85,100,7.63,overcast clouds
247,Abu Kamal,SY,2022-02-12 15:17:28,34.4506,40.9171,59.88,29,0,9.22,clear sky
248,Xingyi,CN,2022-02-12 15:17:28,24.1877,102.817,47.75,50,4,2.48,clear sky
249,Kavieng,PG,2022-02-12 15:17:28,-2.5744,150.7967,80.78,77,100,3.06,light rain
250,Saint-Pierre,RE,2022-02-12 15:17:29,-21.3393,55.4781,80.28,78,75,10.36,broken clouds
251,Chumikan,RU,2022-02-12 15:17:29,54.7183,135.315,7.38,95,100,2.35,overcast clouds
252,Mandali,IQ,2022-02-12 15:17:29,33.7499,45.5541,61.9,42,0,15.66,clear sky
253,Wichita Falls,US,2022-02-12 15:17:26,33.9137,-98.4934,35.17,38,0,24.16,clear sky
254,Pisco,PE,2022-02-12 15:17:30,-13.7,-76.2167,72.01,73,0,5.75,clear sky
255,Anshun,CN,2022-02-12 15:17:30,26.25,105.9333,36.66,87,100,12.03,overcast clouds
256,Verkhniy Baskunchak,RU,2022-02-12 15:17:30,48.2256,46.7217,34.05,99,100,3.71,snow
